name;unvan;ana_bilim_dali;uzmanlik_alani;toplam_makale;sci_ssci;kitap_sayisi
MUSA ATAŞ;Profesör;BİLGİSAYAR KURAMSAL TEMELLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Makine Öğrenmesi ; Görüntü İşleme | Yapay Zeka | Makine Öğrenmesi | Görüntü İşleme | Mühendislik Temel Alanı";27;0;8
ABDULKADİR TEPECİK;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Görüntü İşleme ; Bilgi Sistemleri ; Büyük Data | Görüntü İşleme | Bilgi Sistemleri | Büyük Data 094665B41D509B86 | Mühendislik Temel Alanı";0;0;0
MURAT GÖK;Profesör;SİBER GÜVENLİK;"Bilgisayar Bilimleri ve Mühendisliği | Makine Öğrenmesi ; Yapay Zeka ; Biyoenformatik | Makine Öğrenmesi | Yapay Zeka | Biyoenformatik | Mühendislik Temel Alanı";30;1;5
ZEKİ YETGİN;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar ve İletişim Ağları ; Yapay Zeka ; Makine Öğrenmesi | Bilgisayar ve İletişim Ağları | Yapay Zeka | Makine Öğrenmesi | Mühendislik Temel Alanı";30;6;0
ERDİNÇ AVAROĞLU;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgi Sistemleri ; Bilgisayar ve İletişim Ağları ; Bilgisayar Yazılımı ve Yazılım Mühendisliği | Bilgi Sistemleri | Bilgisayar ve İletişim Ağları | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Mühendislik Temel Alanı";29;0;1
HAMZA EROL;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Büyük Veri ; Yapay Zeka ; Makine Öğrenmesi | Büyük Veri | Yapay Zeka | Makine Öğrenmesi | Mühendislik Temel Alanı";35;4;6
AHMET ZENGİN;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Yazılımı ve Yazılım Mühendisliği ; Bilgisayar ve İletişim Ağları ; Modelleme ve Simülasyon | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Bilgisayar ve İletişim Ağları | Modelleme ve Simülasyon | Mühendislik Temel Alanı";63;1;5
CEMİL ÖZ;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Grafiği ; Yapay Zeka ; Görüntü İşleme | Bilgisayar Grafiği | Yapay Zeka | Görüntü İşleme | Mühendislik Temel Alanı";49;2;7
NEJAT YUMUŞAK;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Büyük Veri ; Biyoenformatik | Yapay Zeka | Büyük Veri | Biyoenformatik | Mühendislik Temel Alanı";63;0;7
CÜNEYT BAYILMIŞ;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar ve İletişim Ağları ; Gömülü Sistemler ; Bulut Bilişim | Bilgisayar ve İletişim Ağları | Gömülü Sistemler | Bulut Bilişim | Mühendislik Temel Alanı";64;4;4
HALİT ÖZTEKİN;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Sistem Yapısı ve Donanımı ; Gömülü Sistemler | Bilgisayar Sistem Yapısı ve Donanımı | Gömülü Sistemler | Mühendislik Temel Alanı";23;0;0
OZAN ARTUN;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Yazılımı ve Yazılım Mühendisliği ; Programlama Dilleri ; Hesaplama Yöntemleri | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Programlama Dilleri | Hesaplama Yöntemleri | Mühendislik Temel Alanı";37;14;4
FATİH BAŞÇİFTÇİ;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Sistem Yapısı ve Donanımı ; Bilgisayar Sistem Yazılımı ; Bilgisayar Yazılımı ve Yazılım Mühendisliği | Bilgisayar Sistem Yapısı ve Donanımı | Bilgisayar Sistem Yazılımı | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Mühendislik Temel Alanı";97;4;23
HUMAR KAHRAMANLI ÖRNEK;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Makine Öğrenmesi ; Ses ve Konuşma İşleme | Yapay Zeka | Makine Öğrenmesi | Ses ve Konuşma İşleme | Mühendislik Temel Alanı";47;3;4
ERKAN ÜLKER;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Sanal ve Artırılmış Gerçeklik ; Bilgisayar Yazılımı ve Yazılım Mühendisliği | Yapay Zeka | Sanal ve Artırılmış Gerçeklik | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Mühendislik Temel Alanı";65;4;5
ABDULLAH ERDAL TÜMER;Profesör;YAPAY ZEKA;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Bilgisayar ve İletişim Ağları | Yapay Zeka | Bilgisayar ve İletişim Ağları | Mühendislik Temel Alanı";24;1;2
HÜSEYİN HAKLI;Profesör;YAPAY ZEKA;Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka | Mühendislik Temel Alanı;38;3;1
HARUN UĞUZ;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Bilgisayar Yazılımı ; Veri Madenciliği | Yapay Zeka | Bilgisayar Yazılımı | Veri Madenciliği | Mühendislik Temel Alanı";44;5;0
ŞAKİR TAŞDEMİR;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Görüntü İşleme ; Bulanık Mantık | Yapay Zeka | Görüntü İşleme | Bulanık Mantık | Mühendislik Temel Alanı";78;2;9
ADEM ALPASLAN ALTUN;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Biyometri ; Görüntü İşleme ; Gömülü Sistemler | Biyometri | Görüntü İşleme | Gömülü Sistemler | Mühendislik Temel Alanı";27;1;0
NURETTİN DOĞAN;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgi Güvenliği ve Kriptoloji ; Görüntü İşleme | Bilgi Güvenliği ve Kriptoloji | Görüntü İşleme | Mühendislik Temel Alanı";46;1;11
AHMET BARAN;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Bilgisayar ve İletişim Ağları ; Bilgisayar Yazılımı ve Yazılım Mühendisliği | Yapay Zeka | Bilgisayar ve İletişim Ağları | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Mühendislik Temel Alanı";11;0;1
TUNA TUĞCU;Profesör;BİLGİSAYAR DONANIMI;Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar ve İletişim Ağları | Mühendislik Temel Alanı;53;16;11
TUNGA GÜNGÖR;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Makine Öğrenmesi ; Veri Madenciliği | Yapay Zeka | Makine Öğrenmesi | Veri Madenciliği | Mühendislik Temel Alanı";40;11;2
ŞEFİK ŞUAYB ARSLAN;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Algoritmalar ve Hesaplama Kuramı ; Bulut Bilişim ; Yapay Zeka | Algoritmalar ve Hesaplama Kuramı | Bulut Bilişim | Yapay Zeka | Mühendislik Temel Alanı";48;5;0
